symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY2370619450CE,,2023-07-06,NSE,FO,,sell,false,400.000000,26.750000,1123080,1000000007781941,2023-07-06T09:23:36,2023-07-06
NIFTY2370619450CE,,2023-07-06,NSE,FO,,sell,false,50.000000,26.750000,1123079,1000000007781941,2023-07-06T09:23:36,2023-07-06
NIFTY2370619450CE,,2023-07-06,NSE,FO,,sell,false,50.000000,26.750000,1123078,1000000007781941,2023-07-06T09:23:36,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,buy,false,50.000000,13.550000,1122412,1000000007777494,2023-07-06T09:23:36,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,buy,false,300.000000,13.550000,1122413,1000000007777494,2023-07-06T09:23:36,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,buy,false,50.000000,13.550000,1122411,1000000007777494,2023-07-06T09:23:36,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,buy,false,100.000000,13.550000,1122410,1000000007777494,2023-07-06T09:23:36,2023-07-06
NIFTY2370619300PE,,2023-07-06,NSE,FO,,buy,false,150.000000,14.600000,87150132,1100000007655842,2023-07-06T09:23:37,2023-07-06
NIFTY2370619300PE,,2023-07-06,NSE,FO,,buy,false,350.000000,14.600000,87150133,1100000007655842,2023-07-06T09:23:37,2023-07-06
NIFTY2370619350PE,,2023-07-06,NSE,FO,,sell,false,500.000000,26.200000,87150529,1100000007660531,2023-07-06T09:23:37,2023-07-06
NIFTY2370619450CE,,2023-07-06,NSE,FO,,buy,false,500.000000,37.200000,4176445,1000000035758616,2023-07-06T10:10:03,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,sell,false,150.000000,18.600000,4176456,1000000035758774,2023-07-06T10:10:03,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,sell,false,50.000000,18.600000,4176457,1000000035758774,2023-07-06T10:10:03,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,sell,false,300.000000,18.600000,4176458,1000000035758774,2023-07-06T10:10:03,2023-07-06
NIFTY2370619550CE,,2023-07-06,NSE,FO,,buy,false,500.000000,7.900000,4337449,1000000037122182,2023-07-06T10:11:56,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,sell,false,500.000000,18.400000,4367901,1000000036936289,2023-07-06T10:12:25,2023-07-06
NIFTY2370619300PE,,2023-07-06,NSE,FO,,buy,false,500.000000,7.050000,90613614,1100000040378822,2023-07-06T10:25:53,2023-07-06
NIFTY2370619350PE,,2023-07-06,NSE,FO,,sell,false,500.000000,12.050000,90759379,1100000040921799,2023-07-06T10:28:10,2023-07-06
NIFTY2370619450CE,,2023-07-06,NSE,FO,,buy,false,50.000000,40.000000,7329391,1000000064448231,2023-07-06T11:08:05,2023-07-06
NIFTY2370619550CE,,2023-07-06,NSE,FO,,sell,false,50.000000,8.100000,7340530,1000000064616282,2023-07-06T11:08:17,2023-07-06
NIFTY2370619300PE,,2023-07-06,NSE,FO,,sell,false,50.000000,5.150000,92235061,1100000056111675,2023-07-06T11:09:56,2023-07-06
NIFTY2370619400PE,,2023-07-06,NSE,FO,,buy,false,50.000000,19.750000,92235002,1100000056110985,2023-07-06T11:09:56,2023-07-06
NIFTY2370619450CE,,2023-07-06,NSE,FO,,buy,false,50.000000,42.550000,8393042,1000000075525910,2023-07-06T11:41:43,2023-07-06
NIFTY2370619550CE,,2023-07-06,NSE,FO,,sell,false,50.000000,8.150000,8400442,1000000075820950,2023-07-06T11:41:59,2023-07-06
NIFTY2370619300PE,,2023-07-06,NSE,FO,,sell,false,350.000000,0.900000,98827998,1100000116318418,2023-07-06T14:21:12,2023-07-06
NIFTY2370619300PE,,2023-07-06,NSE,FO,,sell,false,550.000000,0.900000,98827997,1100000116318418,2023-07-06T14:21:12,2023-07-06
NIFTY2370619300PE,,2023-07-06,NSE,FO,,sell,false,50.000000,0.900000,98827996,1100000116318418,2023-07-06T14:21:12,2023-07-06
NIFTY2370619350PE,,2023-07-06,NSE,FO,,buy,false,1000.000000,1.200000,98828013,1100000116318487,2023-07-06T14:21:12,2023-07-06
NIFTY2370619400PE,,2023-07-06,NSE,FO,,sell,false,50.000000,2.650000,98827995,1100000116318404,2023-07-06T14:21:12,2023-07-06
NIFTY2370619350PE,,2023-07-06,NSE,FO,,buy,false,150.000000,1.250000,99736046,1100000123051607,2023-07-06T14:29:43,2023-07-06
NIFTY2370619350PE,,2023-07-06,NSE,FO,,buy,false,100.000000,1.250000,99736044,1100000123051607,2023-07-06T14:29:43,2023-07-06
NIFTY2370619350PE,,2023-07-06,NSE,FO,,buy,false,50.000000,1.250000,99736045,1100000123051607,2023-07-06T14:29:43,2023-07-06
NIFTY2370619350PE,,2023-07-06,NSE,FO,,buy,false,200.000000,1.250000,99736047,1100000123051607,2023-07-06T14:29:43,2023-07-06
NIFTY2370619400PE,,2023-07-06,NSE,FO,,sell,false,250.000000,3.800000,99736186,1100000123052855,2023-07-06T14:29:43,2023-07-06
NIFTY2370619400PE,,2023-07-06,NSE,FO,,sell,false,150.000000,3.800000,99736184,1100000123052855,2023-07-06T14:29:43,2023-07-06
NIFTY2370619400PE,,2023-07-06,NSE,FO,,sell,false,50.000000,3.800000,99736183,1100000123052855,2023-07-06T14:29:43,2023-07-06
NIFTY2370619400PE,,2023-07-06,NSE,FO,,sell,false,50.000000,3.800000,99736185,1100000123052855,2023-07-06T14:29:43,2023-07-06
NIFTY2370619400PE,,2023-07-06,NSE,FO,,buy,false,50.000000,0.950000,100762981,1100000130515647,2023-07-06T14:44:06,2023-07-06
NIFTY2370619400PE,,2023-07-06,NSE,FO,,buy,false,50.000000,0.950000,100762982,1100000130515647,2023-07-06T14:44:06,2023-07-06
NIFTY2370619400PE,,2023-07-06,NSE,FO,,buy,false,350.000000,0.950000,100762979,1100000130515647,2023-07-06T14:44:06,2023-07-06
NIFTY2370619400PE,,2023-07-06,NSE,FO,,buy,false,50.000000,0.950000,100762980,1100000130515647,2023-07-06T14:44:06,2023-07-06
NIFTY2370619350PE,,2023-07-06,NSE,FO,,sell,false,500.000000,0.500000,100763189,1100000130517818,2023-07-06T14:44:07,2023-07-06
NIFTY2370619450CE,,2023-07-06,NSE,FO,,sell,false,100.000000,50.150000,20653818,1000000172693960,2023-07-06T15:12:18,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,buy,false,100.000000,6.050000,20653821,1000000172693967,2023-07-06T15:12:18,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,buy,false,250.000000,6.050000,20653822,1000000172693967,2023-07-06T15:12:18,2023-07-06
NIFTY2370619500CE,,2023-07-06,NSE,FO,,buy,false,150.000000,6.050000,20653823,1000000172693967,2023-07-06T15:12:18,2023-07-06
NIFTY2370619550CE,,2023-07-06,NSE,FO,,sell,false,400.000000,0.100000,20653820,1000000172693962,2023-07-06T15:12:18,2023-07-06
